中国电信浙江公司宁波市分公司客户分户帐单,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
帐户名称,镇海石化工业贸易有限责任公司,,,,,,,,,,,,,,,
帐户号码,2.74102E+12,计费周期,2011年5月,打印日期,2011年7月7日,,,,,,,,,,,
帐单投递地址,俞范工贸公司,,,,,,,,,,,,,,,
用户号码,月基本费,增值业务费,本地话费,虚拟网话费,长话费,短信费,漫游费,互联网使用费,信息费,数据业务费,网元租用费,优惠(补足)费,代收费,业务受理费,其他费,合计
固话,,,,,,,,,,,,,,,,
86446023,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86446026,0,0,20.4,0,9.9,0,0,0,0,0,0,0,0,0,0,30.3
86446028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86446137,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
86446227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86448057,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,8.9
86448224,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,9.6
86448228,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,5.7
86448302,0,0,39.8,0,0,0,0,0,0,0,0,0,0,0,0,39.8
86448313,0,0.2,6.7,0,0,0,0,0,0,0,0,0,0,0,0,6.9
86448328,0,1.8,61.8,0,0,0,0,0,0,0,0,0,0,0,0,63.6
86448353,0,0,19.2,0,129,0,0,0,0,0,0,0,0,0,0,148.2
86449010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449021,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.6
86449023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449082,0,0,2.2,0,0,0,0,0,4.2,0,0,0,0,0,0,6.4
86449083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86449085,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,14.4
86449087,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4
